report_id,equipment,report_text,failure_type,severity,action_taken
664,Pneumatic Cylinder PC-264,"A fault was detected on the pneumatic cylinder pc-264 because of a damaged pneumatic seal. Pressure fluctuated during operation after a maintenance restart, resulting in cycle time increased. Corrective work was completed: the control valve was replaced.",Pneumatic,Critical,the control valve was replaced
158,Fan F-258,"The fan f-258 developed a fault linked to shaft misalignment. Belt tracking deviation under full load, so the unit was taken offline. Corrective work was completed: the seal was renewed.",Mechanical,Low,the seal was renewed
486,Electrical Cabinet EC-336,"A fault was detected on the electrical cabinet ec-336 because of a short circuit. The drive reported an overload during startup, resulting in production capacity was reduced. Corrective work was completed: the motor winding was inspected.",Electrical,Critical,the motor winding was inspected
474,Electrical Cabinet EC-324,"A fault was detected on the electrical cabinet ec-324 because of a short circuit. Supply voltage dropped after the equipment was restarted, resulting in the motor tripped. Corrective work was completed: the motor winding was inspected.",Electrical,Critical,the motor winding was inspected
638,Air Compressor AC-238,"The air compressor ac-238 developed a fault linked to a cracked air line. The cylinder failed to complete its stroke during automatic operation, so production efficiency decreased. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Medium,the pneumatic seal was renewed
478,Control Panel CP-328,"A fault was detected on the control panel cp-328 because of an overloaded circuit. Voltage became unstable at peak operating speed, resulting in the machine could not continue operation. Corrective work was completed: the motor winding was inspected.",Electrical,Medium,the motor winding was inspected
622,Pneumatic Cylinder PC-222,"The pneumatic cylinder pc-222 developed a fault linked to moisture accumulation. Airflow became restricted while the compressor was loaded, so the actuator stopped. Corrective work was completed: the air filter was changed.",Pneumatic,Medium,the air filter was changed
921,Oil Cooler OC-271,"Maintenance personnel reported temperature rose above the permitted limit on the oil cooler oc-271 during extended operation. Investigation identified poor thermal insulation, and the line operated at reduced capacity. Corrective work was completed: thermal insulation was repaired.",Thermal,Medium,thermal insulation was repaired
992,Heat Exchanger HX-342,"The heat exchanger hx-342 developed a fault linked to excessive fuel input. Cooling performance deteriorated while operating at high pressure, so an emergency alarm was triggered. Corrective work was completed: the thermostat was replaced.",Thermal,Critical,the thermostat was replaced
448,Variable Frequency Drive VFD-298,"The variable frequency drive vfd-298 developed a fault linked to poor cable termination. Current exceeded its normal range during production changeover, so the drive entered fault mode. Corrective work was completed: the motor winding was inspected.",Electrical,Low,the motor winding was inspected
249,Conveyor CV-349,"Inspection found gear tooth wear on the conveyor cv-349; belt tracking deviation while running at high speed, and throughput dropped. Corrective work was completed: belt tension was corrected.",Mechanical,Medium,belt tension was corrected
623,Pneumatic Actuator PA-223,"Maintenance personnel reported airflow became restricted on the pneumatic actuator pa-223 during repeated actuator cycles. Investigation identified excessive pressure loss, and the actuator stopped. Corrective work was completed: the pressure circuit was inspected.",Pneumatic,Critical,the pressure circuit was inspected
381,Distribution Board DB-231,"Maintenance personnel reported voltage became unstable on the distribution board db-231 during continuous operation. Investigation identified a short circuit, and an emergency stop was initiated. Corrective work was completed: the contactor was replaced.",Electrical,Critical,the contactor was replaced
183,Roller Assembly RA-283,"Maintenance personnel reported strong vibration on the roller assembly ra-283 during inspection. Investigation identified insufficient lubrication, and output quality decreased. Corrective work was completed: the bearing was replaced.",Mechanical,Low,the bearing was replaced
562,Pneumatic Cylinder PC-162,"The pneumatic cylinder pc-162 developed a fault linked to a cracked air line. The actuator moved slowly during repeated actuator cycles, so the production cycle was delayed. Corrective work was completed: the pipe fitting was tightened.",Pneumatic,Medium,the pipe fitting was tightened
271,Generator GEN-121,"Inspection found a loose terminal on the generator gen-121; supply voltage dropped during routine testing, and the machine could not continue operation. Corrective work was completed: the voltage supply was stabilized.",Electrical,Medium,the voltage supply was stabilized
434,Electrical Cabinet EC-284,"A fault was detected on the electrical cabinet ec-284 because of a failed contactor. Supply voltage dropped at peak operating speed, resulting in the line lost power. Corrective work was completed: the cable termination was corrected.",Electrical,Critical,the cable termination was corrected
656,Air Manifold AM-256,"A fault was detected on the air manifold am-256 because of a faulty pressure regulator. The valve responded slowly after filter replacement, resulting in cycle time increased. Corrective work was completed: the cracked air line was repaired.",Pneumatic,Low,the cracked air line was repaired
565,Compressed-Air Line AL-165,"Inspection found a defective control valve on the compressed-air line al-165; pressure fluctuated during operation at maximum air consumption, and operator intervention was required. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,High,the pneumatic seal was renewed
597,Air Filter Unit AF-197,"Inspection found a clogged air filter on the air filter unit af-197; airflow became restricted after a maintenance restart, and production efficiency decreased. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Critical,the pneumatic seal was renewed
629,Pneumatic Valve PV-229,"Inspection found a faulty pressure regulator on the pneumatic valve pv-229; pressure fluctuated during operation when multiple actuators operated together, and the pneumatic system was isolated. Corrective work was completed: the pneumatic seal was renewed.",Pneumatic,Medium,the pneumatic seal was renewed
969,Process Heater PH-319,"Maintenance personnel reported oil temperature increased rapidly on the process heater ph-319 during startup heating. Investigation identified restricted coolant flow, and an automatic shutdown occurred. Corrective work was completed: the thermostat was replaced.",Thermal,Low,the thermostat was replaced
635,Air Dryer AD-235,"Maintenance personnel reported airflow became restricted on the air dryer ad-235 while the compressor was loaded. Investigation identified a damaged pneumatic seal, and the actuator stopped. Corrective work was completed: the pipe fitting was tightened.",Pneumatic,Low,the pipe fitting was tightened
552,Air Compressor AC-152,"A fault was detected on the air compressor ac-152 because of a loose pipe fitting. The actuator moved slowly during automatic operation, resulting in the production cycle was delayed. Corrective work was completed: the regulator was recalibrated.",Pneumatic,Critical,the regulator was recalibrated
494,Electrical Cabinet EC-344,"A fault was detected on the electrical cabinet ec-344 because of poor cable termination. Motor temperature rose sharply during startup, resulting in the machine could not continue operation. Corrective work was completed: the damaged cable was repaired.",Electrical,Critical,the damaged cable was repaired
926,Steam Generator SG-276,"A fault was detected on the steam generator sg-276 because of a malfunctioning thermostat. The chamber overheated after a cooling-system restart, resulting in the process was paused. Corrective work was completed: heat dissipation was restored.",Thermal,Low,heat dissipation was restored
906,Boiler B-256,"A fault was detected on the boiler b-256 because of a malfunctioning thermostat. The unit could not maintain the set temperature during a routine temperature check, resulting in the unit was isolated for inspection. Corrective work was completed: the cooling circuit was cleaned.",Thermal,Critical,the cooling circuit was cleaned
233,Agitator AG-333,"Inspection found a cracked coupling on the agitator ag-333; uneven rotation during continuous operation, and throughput dropped. Corrective work was completed: damaged gears were replaced.",Mechanical,Medium,damaged gears were replaced
439,Electrical Cabinet EC-289,"Inspection found voltage fluctuation on the electrical cabinet ec-289; the equipment shut down unexpectedly under maximum load, and the equipment remained unavailable. Corrective work was completed: the cable termination was corrected.",Electrical,Low,the cable termination was corrected
505,Pneumatic Valve PV-105,"Inspection found a faulty pressure regulator on the pneumatic valve pv-105; the compressor cycled frequently while the compressor was loaded, and cycle time increased. Corrective work was completed: the pressure circuit was inspected.",Pneumatic,Medium,the pressure circuit was inspected
489,Starter ST-339,"Maintenance personnel reported supply voltage dropped on the starter st-339 during production changeover. Investigation identified a loose terminal, and the equipment remained unavailable. Corrective work was completed: the relay was replaced.",Electrical,High,the relay was replaced
411,Servo Motor SM-261,"Inspection found a failed contactor on the servo motor sm-261; supply voltage dropped under maximum load, and the drive entered fault mode. Corrective work was completed: the overload was corrected.",Electrical,High,the overload was corrected
253,Control Panel CP-103,"Maintenance personnel reported the equipment shut down unexpectedly on the control panel cp-103 after the equipment was restarted. Investigation identified poor cable termination, and production stopped. Corrective work was completed: the electrical connection was replaced.",Electrical,Low,the electrical connection was replaced
483,Drive Motor DM-333,"Inspection found an overheated electrical connection on the drive motor dm-333; the equipment shut down unexpectedly after the equipment was restarted, and the motor tripped. Corrective work was completed: the terminal was tightened.",Electrical,Medium,the terminal was tightened
380,Generator GEN-230,"The generator gen-230 developed a fault linked to a loose terminal. The equipment shut down unexpectedly at peak operating speed, so an emergency stop was initiated. Corrective work was completed: the terminal was tightened.",Electrical,High,the terminal was tightened
54,Roller Assembly RA-154,"The roller assembly ra-154 developed a fault linked to an unbalanced rotating assembly. Uneven rotation during inspection, so the equipment was isolated. Corrective work was completed: the rollers were replaced.",Mechanical,Critical,the rollers were replaced
841,Steam Generator SG-191,"Maintenance personnel reported oil temperature increased rapidly on the steam generator sg-191 during a routine temperature check. Investigation identified restricted coolant flow, and the equipment was taken offline. Corrective work was completed: the cooling circuit was cleaned.",Thermal,Critical,the cooling circuit was cleaned
732,Pneumatic Actuator PA-332,"A fault was detected on the pneumatic actuator pa-332 because of a loose pipe fitting. The actuator moved slowly during repeated actuator cycles, resulting in the unit entered a low-pressure condition. Corrective work was completed: the blocked passage was cleaned.",Pneumatic,Low,the blocked passage was cleaned
710,Air Compressor AC-310,"The air compressor ac-310 developed a fault linked to a blocked air passage. The valve responded slowly after filter replacement, so the production cycle was delayed. Corrective work was completed: the regulator was recalibrated.",Pneumatic,Medium,the regulator was recalibrated
826,Steam Generator SG-176,"A fault was detected on the steam generator sg-176 because of a blocked cooling passage. Pressure increased unexpectedly after a long operating cycle, resulting in the process was paused. Corrective work was completed: the cooling passage was cleared.",Thermal,Low,the cooling passage was cleared
496,Starter ST-346,"The starter st-346 developed a fault linked to an overloaded circuit. Sparking was observed during production changeover, so the unit required electrical inspection. Corrective work was completed: the contactor was replaced.",Electrical,Medium,the contactor was replaced
714,Pressure Regulator PR-314,"The pressure regulator pr-314 developed a fault linked to a defective control valve. The pneumatic circuit became unstable when multiple actuators operated together, so cycle time increased. Corrective work was completed: the moisture separator was serviced.",Pneumatic,Low,the moisture separator was serviced
804,Industrial Furnace F-154,"The industrial furnace f-154 developed a fault linked to uneven heat distribution. Oil temperature increased rapidly under maximum thermal load, so the equipment was taken offline. Corrective work was completed: the cooling passage was cleared.",Thermal,High,the cooling passage was cleared
263,Control Panel CP-113,"Inspection found a loose terminal on the control panel cp-113; the drive reported an overload during production changeover, and the operator isolated the equipment. Corrective work was completed: the relay was replaced.",Electrical,High,the relay was replaced
266,Generator GEN-116,"A fault was detected on the generator gen-116 because of voltage fluctuation. The drive reported an overload during startup, resulting in the line lost power. Corrective work was completed: the relay was replaced.",Electrical,Low,the relay was replaced
859,Hot-Air Oven O-209,"Inspection found insufficient heat dissipation on the hot-air oven o-209; steam temperature exceeded the target under maximum thermal load, and the equipment entered protection mode. Corrective work was completed: fuel input was adjusted.",Thermal,Low,fuel input was adjusted
813,Thermal Chamber TC-163,"Maintenance personnel reported cooling performance deteriorated on the thermal chamber tc-163 during extended operation. Investigation identified insufficient heat dissipation, and the equipment entered protection mode. Corrective work was completed: the temperature sensor was replaced.",Thermal,High,the temperature sensor was replaced
860,Cooling Unit CU-210,"The cooling unit cu-210 developed a fault linked to a malfunctioning thermostat. Oil temperature increased rapidly under maximum thermal load, so the process was paused. Corrective work was completed: thermal insulation was repaired.",Thermal,Low,thermal insulation was repaired
663,Pneumatic Cylinder PC-263,"Maintenance personnel reported the compressor cycled frequently on the pneumatic cylinder pc-263 after filter replacement. Investigation identified a faulty pressure regulator, and the production cycle was delayed. Corrective work was completed: the moisture separator was serviced.",Pneumatic,High,the moisture separator was serviced
805,Thermal Reactor TR-155,"Maintenance personnel reported the chamber overheated on the thermal reactor tr-155 while processing a high-temperature batch. Investigation identified poor thermal insulation, and the process was paused. Corrective work was completed: heat dissipation was restored.",Thermal,Critical,heat dissipation was restored
257,Variable Frequency Drive VFD-107,"Maintenance personnel reported the drive reported an overload on the variable frequency drive vfd-107 after a power fluctuation. Investigation identified insulation breakdown, and the line lost power. Corrective work was completed: insulation was repaired.",Electrical,Medium,insulation was repaired
190,Fan F-290,"The fan f-290 developed a fault linked to shaft misalignment. Abnormal friction during startup, so the line operated at reduced speed. Corrective work was completed: the seal was renewed.",Mechanical,Low,the seal was renewed
435,Electrical Cabinet EC-285,"Inspection found a failed contactor on the electrical cabinet ec-285; intermittent power loss occurred under maximum load, and production capacity was reduced. Corrective work was completed: the terminal was tightened.",Electrical,Low,the terminal was tightened
333,Variable Frequency Drive VFD-183,"Maintenance personnel reported sparking was observed on the variable frequency drive vfd-183 after the equipment was restarted. Investigation identified a short circuit, and the equipment remained unavailable. Corrective work was completed: insulation was repaired.",Electrical,Medium,insulation was repaired
48,Pump P-148,"A fault was detected on the pump p-148 because of insufficient lubrication. Uneven rotation under variable load, resulting in the component required immediate attention. Corrective work was completed: the shaft was realigned.",Mechanical,Critical,the shaft was realigned
81,Mixer MX-181,"Inspection found roller damage on the mixer mx-181; strong vibration after recent maintenance, and production was stopped. Corrective work was completed: mounting hardware was tightened.",Mechanical,Low,mounting hardware was tightened
300,Electrical Cabinet EC-150,"The electrical cabinet ec-150 developed a fault linked to a loose terminal. Repeated electrical trips occurred at peak operating speed, so the motor tripped. Corrective work was completed: the terminal was tightened.",Electrical,Medium,the terminal was tightened
292,Servo Motor SM-142,"The servo motor sm-142 developed a fault linked to insulation breakdown. Repeated electrical trips occurred under maximum load, so production capacity was reduced. Corrective work was completed: insulation was repaired.",Electrical,Critical,insulation was repaired
809,Thermal Reactor TR-159,"Maintenance personnel reported the unit could not maintain the set temperature on the thermal reactor tr-159 under maximum thermal load. Investigation identified a faulty temperature sensor, and the equipment entered protection mode. Corrective work was completed: the temperature sensor was replaced.",Thermal,Critical,the temperature sensor was replaced
694,Air Compressor AC-294,"The air compressor ac-294 developed a fault linked to a defective control valve. Pressure fluctuated during operation during the morning shift, so cycle time increased. Corrective work was completed: the control valve was replaced.",Pneumatic,Medium,the control valve was replaced
764,Thermal Reactor TR-114,"The thermal reactor tr-114 developed a fault linked to poor thermal insulation. Oil temperature increased rapidly during a routine temperature check, so an automatic shutdown occurred. Corrective work was completed: fuel input was adjusted.",Thermal,High,fuel input was adjusted
30,Roller Assembly RA-130,"The roller assembly ra-130 developed a fault linked to roller damage. Belt tracking deviation during startup, so maintenance was requested. Corrective work was completed: belt tension was corrected.",Mechanical,Critical,belt tension was corrected
684,Air Filter Unit AF-284,"A fault was detected on the air filter unit af-284 because of a loose pipe fitting. Airflow became restricted during a pressure test, resulting in production efficiency decreased. Corrective work was completed: the pressure circuit was inspected.",Pneumatic,High,the pressure circuit was inspected
21,Conveyor CV-121,"Inspection found shaft misalignment on the conveyor cv-121; uneven rotation under variable load, and the equipment was isolated. Corrective work was completed: the coupling was changed.",Mechanical,Medium,the coupling was changed
544,Compressed-Air Line AL-144,"A fault was detected on the compressed-air line al-144 because of a cracked air line. Pressure fluctuated during operation during a pressure test, resulting in the equipment was taken offline. Corrective work was completed: the cracked air line was repaired.",Pneumatic,Medium,the cracked air line was repaired
724,Pneumatic Valve PV-324,"A fault was detected on the pneumatic valve pv-324 because of a leaking hose. The cylinder failed to complete its stroke under continuous demand, resulting in the unit entered a low-pressure condition. Corrective work was completed: the leaking hose was replaced.",Pneumatic,Low,the leaking hose was replaced
146,Coupling CP-246,"The coupling cp-246 developed a fault linked to gear tooth wear. Strong vibration after recent maintenance, so throughput dropped. Corrective work was completed: the rotating assembly was balanced.",Mechanical,High,the rotating assembly was balanced
598,Pneumatic Actuator PA-198,"The pneumatic actuator pa-198 developed a fault linked to a leaking hose. The pneumatic circuit became unstable at maximum air consumption, so machine speed was reduced. Corrective work was completed: the cracked air line was repaired.",Pneumatic,High,the cracked air line was repaired
827,Process Heater PH-177,"Inspection found a defective pressure valve on the process heater ph-177; temperature rose above the permitted limit after a long operating cycle, and the process was paused. Corrective work was completed: coolant was replenished.",Thermal,High,coolant was replenished
750,Air Compressor AC-350,"The air compressor ac-350 developed a fault linked to a leaking hose. Air leakage was audible after a maintenance restart, so machine speed was reduced. Corrective work was completed: the blocked passage was cleaned.",Pneumatic,Medium,the blocked passage was cleaned
511,Pressure Regulator PR-111,"Maintenance personnel reported the cylinder failed to complete its stroke on the pressure regulator pr-111 during automatic operation. Investigation identified moisture accumulation, and cycle time increased. Corrective work was completed: the moisture separator was serviced.",Pneumatic,Medium,the moisture separator was serviced
879,Heat Exchanger HX-229,"Inspection found low coolant level on the heat exchanger hx-229; pressure increased unexpectedly after a cooling-system restart, and the line operated at reduced capacity. Corrective work was completed: thermal insulation was repaired.",Thermal,High,thermal insulation was repaired
105,Conveyor CV-205,"Inspection found excessive belt tension on the conveyor cv-205; intermittent knocking after a long production cycle, and operator intervention was required. Corrective work was completed: the bearing was replaced.",Mechanical,Medium,the bearing was replaced
963,Thermal Chamber TC-313,"Inspection found insufficient heat dissipation on the thermal chamber tc-313; thermal reading fluctuated during peak production, and production was interrupted. Corrective work was completed: thermal insulation was repaired.",Thermal,Low,thermal insulation was repaired
393,Electrical Cabinet EC-243,"Maintenance personnel reported repeated electrical trips occurred on the electrical cabinet ec-243 while accelerating. Investigation identified a loose terminal, and production stopped. Corrective work was completed: insulation was repaired.",Electrical,High,insulation was repaired
423,Drive Motor DM-273,"Inspection found insulation breakdown on the drive motor dm-273; voltage became unstable during startup, and the line lost power. Corrective work was completed: the cable termination was corrected.",Electrical,Medium,the cable termination was corrected
794,Steam Generator SG-144,"A fault was detected on the steam generator sg-144 because of low coolant level. The chamber overheated during startup heating, resulting in production was interrupted. Corrective work was completed: the thermostat was replaced.",Thermal,Low,the thermostat was replaced
546,Compressed-Air Line AL-146,"The compressed-air line al-146 developed a fault linked to a blocked air passage. The compressor cycled frequently during repeated actuator cycles, so the equipment was taken offline. Corrective work was completed: the pressure circuit was inspected.",Pneumatic,Critical,the pressure circuit was inspected
720,Pneumatic Valve PV-320,"A fault was detected on the pneumatic valve pv-320 because of a blocked air passage. The actuator moved slowly while the compressor was loaded, resulting in the unit entered a low-pressure condition. Corrective work was completed: the blocked passage was cleaned.",Pneumatic,Low,the blocked passage was cleaned
585,Air Dryer AD-185,"Inspection found a damaged pneumatic seal on the air dryer ad-185; the compressor cycled frequently during a pressure test, and the production cycle was delayed. Corrective work was completed: the regulator was recalibrated.",Pneumatic,High,the regulator was recalibrated
205,Roller Assembly RA-305,"Inspection found an unbalanced rotating assembly on the roller assembly ra-305; strong vibration while running at high speed, and the component required immediate attention. Corrective work was completed: the seal was renewed.",Mechanical,High,the seal was renewed
885,Thermal Reactor TR-235,"Maintenance personnel reported thermal reading fluctuated on the thermal reactor tr-235 after a long operating cycle. Investigation identified poor thermal insulation, and the equipment entered protection mode. Corrective work was completed: the thermostat was replaced.",Thermal,Critical,the thermostat was replaced
241,Gearbox GB-341,"Inspection found seal deterioration on the gearbox gb-341; unstable rotational speed during continuous operation, and maintenance was requested. Corrective work was completed: the seal was renewed.",Mechanical,High,the seal was renewed
625,Compressed-Air Line AL-225,"Inspection found a cracked air line on the compressed-air line al-225; system pressure fell below the target during a pressure test, and the production line paused. Corrective work was completed: the control valve was replaced.",Pneumatic,High,the control valve was replaced
